"Table 6.2: Occupations with the expected highest (percentage) decline, 2021-2035, Share",,,,
Shares (%),"Baseline
projections
(BS)","Automation
(AS)","Technological
opportunities
(TS)","Human-centric
(HS)"
4215 Personal assistants and other secretaries,0.003,0.004,0.004,0.004
4213 School secretaries,0.002,0.002,0.002,0.002
4216 Receptionists,0.004,0.005,0.005,0.005
7111 Sales and retail assistants,0.027,0.025,0.025,0.025
4123 Bank and post office clerks,0.003,0.002,0.002,0.002
4152 Data entry administrators,0.001,0,0,0
"4122 Book-keepers, payroll managers and
wages clerks",0.013,0.013,0.013,0.013
4131 Records clerks and assistants,0.004,0.003,0.003,0.003
4159 Other administrative occupations n.e.c.,0.017,0.016,0.016,0.016
"1121 Production managers and directors in
manufacturing",0.007,0.006,0.006,0.006
