"Table 6.1: Occupations with the expected highest (percentage) growth, 2021-2035, Shares",,,,
Shares (%),"Baseline
projections
(BS)","Automation
(AS)","Technological
opportunities
(TS)","Human-centric
(HS)"
2132 IT managers,0.0087,0.0092,0.0092,0.0092
2152 Environment professionals,0.0017,0.0031,0.0031,0.0031
"2134 Programmers and software development
professionals",0.0164,0.0168,0.0169,0.0168
1136 Human resource managers and directors,0.0063,0.0071,0.0071,0.0071
1131 Financial managers and directors,0.0134,0.0143,0.0143,0.0143
1137 Information technology directors,0.0042,0.0046,0.0046,0.0046
3132 IT user support technicians,0.004,0.0058,0.0059,0.0058
6131 Nursing auxiliaries and assistants,0.0159,0.0169,0.0168,0.0169
6135 Care workers and home carers,0.0272,0.0302,0.0301,0.0303
2319 Teaching professionals n.e.c.,0.0089,0.0104,0.0104,0.0104
